date,SEN_Regina,REM_Regina,SEN_PrinceAlbert,REM_PrinceAlbert,SEN_Saskatoon,REM_Saskatoon,SEN_PineGrove,REM_PineGrove,SEN_WhiteBirch,REM_WhiteBirch
01-Jan-1999,268,56,176,95,220,70,32,17,,
02-Jan-1999,271,56,178,95,222,70,32,17,,
03-Jan-1999,267,56,175,95,218,70,30,17,,
04-Jan-1999,267,59,174,95,218,70,29,16,,
05-Jan-1999,265,72,173,102,210,74,29,16,,
06-Jan-1999,270,70,178,99,212,76,29,16,,
07-Jan-1999,269,68,179,97,219,75,30,17,,
08-Jan-1999,276,66,183,88,214,68,29,16,,
09-Jan-1999,282,67,182,94,215,71,30,17,,
10-Jan-1999,281,68,180,94,213,71,28,17,,
11-Jan-1999,280,68,179,94,213,70,27,17,,
12-Jan-1999,275,70,184,96,209,69,28,18,,
13-Jan-1999,273,71,190,97,207,68,28,18,,
14-Jan-1999,270,72,185,92,207,72,30,17,,
15-Jan-1999,277,70,184,91,210,72,31,19,,
16-Jan-1999,287,76,187,92,214,76,32,18,,
17-Jan-1999,286,77,185,92,210,77,32,18,,
18-Jan-1999,284,77,183,92,211,77,31,18,,
19-Jan-1999,281,80,185,90,209,84,31,18,,
20-Jan-1999,281,78,187,85,212,80,31,18,,
21-Jan-1999,278,77,189,88,218,80,34,20,,
22-Jan-1999,287,75,188,87,228,81,33,19,,
23-Jan-1999,288,78,195,91,229,78,38,18,,
24-Jan-1999,283,78,192,90,226,78,38,18,,
25-Jan-1999,280,78,191,90,227,78,37,18,,
26-Jan-1999,276,86,189,88,222,82,36,16,,
27-Jan-1999,283,85,187,82,222,82,37,15,,
28-Jan-1999,286,83,186,86,224,84,37,12,,
29-Jan-1999,294,78,189,86,232,81,37,11,,
30-Jan-1999,306,82,200,83,232,77,42,12,,
31-Jan-1999,303,82,194,84,228,76,39,12,,
01-Feb-1999,298,83,192,84,226,76,39,12,,
02-Feb-1999,299,86,199,85,220,81,39,12,,
03-Feb-1999,297,86,197,85,221,77,38,12,,
04-Feb-1999,293,79,197,89,227,76,38,11,,
05-Feb-1999,300,80,199,85,232,68,39,12,,
06-Feb-1999,317,75,195,82,231,66,43,13,,
07-Feb-1999,314,75,192,82,228,66,42,13,,
08-Feb-1999,309,76,191,82,227,66,41,13,,
09-Feb-1999,304,79,197,85,229,74,40,13,,
10-Feb-1999,307,79,201,86,226,72,40,13,,
11-Feb-1999,308,78,203,83,227,71,44,14,,
12-Feb-1999,311,77,201,82,232,72,44,13,,
13-Feb-1999,316,81,199,79,233,77,42,16,,
14-Feb-1999,313,81,195,81,232,78,41,16,,
15-Feb-1999,310,81,195,81,231,78,41,16,,
16-Feb-1999,304,86,201,81,226,89,44,14,,
17-Feb-1999,310,87,199,84,224,86,44,13,,
18-Feb-1999,311,86,205,79,233,77,47,13,,
19-Feb-1999,317,87,196,78,233,77,47,14,,
20-Feb-1999,325,90,193,81,239,74,46,16,,
21-Feb-1999,324,101,189,82,231,75,46,16,,
22-Feb-1999,320,101,188,82,230,75,45,16,,
23-Feb-1999,323,105,189,87,226,83,45,14,,
24-Feb-1999,329,100,194,85,230,76,46,14,,
25-Feb-1999,325,96,194,85,233,78,48,15,,
26-Feb-1999,331,94,200,90,232,83,47,15,,
27-Feb-1999,328,97,198,90,242,78,47,13,,
28-Feb-1999,327,97,200,91,239,80,47,13,,
01-Mar-1999,324,97,201,91,236,82,47,13,,
02-Mar-1999,323,103,208,97,233,91,47,12,,
03-Mar-1999,322,105,210,96,241,86,47,14,,
04-Mar-1999,324,112,207,90,239,88,48,12,,
05-Mar-1999,330,106,211,86,239,92,48,10,,
06-Mar-1999,352,105,199,90,238,87,51,10,,
07-Mar-1999,351,107,197,90,234,87,50,10,,
08-Mar-1999,348,107,197,90,234,87,50,10,,
09-Mar-1999,343,101,200,90,228,92,47,11,,
10-Mar-1999,348,101,203,90,229,88,47,12,,
11-Mar-1999,350,97,203,84,228,94,49,9,,
12-Mar-1999,352,97,201,84,230,92,47,9,,
13-Mar-1999,354,102,204,93,223,85,48,11,,
14-Mar-1999,352,102,200,92,219,85,48,11,,
15-Mar-1999,345,102,200,92,219,85,48,11,,
16-Mar-1999,348,110,201,88,215,96,48,12,,
17-Mar-1999,351,105,201,86,220,92,49,13,,
18-Mar-1999,353,99,199,86,224,85,52,12,,
19-Mar-1999,350,97,199,82,226,82,51,12,,
20-Mar-1999,351,96,204,79,229,80,53,13,,
21-Mar-1999,350,96,203,79,226,80,51,13,,
22-Mar-1999,349,96,203,79,225,80,50,13,,
23-Mar-1999,343,99,198,81,225,84,51,13,,
24-Mar-1999,353,97,205,77,229,80,54,11,,
25-Mar-1999,358,97,208,76,228,84,55,8,,
26-Mar-1999,364,89,207,71,230,81,55,8,,
27-Mar-1999,372,91,210,81,234,87,56,13,,
28-Mar-1999,368,91,210,81,231,87,56,13,,
29-Mar-1999,367,91,208,81,229,87,56,13,,
30-Mar-1999,363,89,202,89,229,95,55,13,,
31-Mar-1999,371,85,205,88,230,89,55,13,,
01-Apr-1999,364,87,200,93,231,82,56,12,,
02-Apr-1999,370,95,189,88,235,81,55,14,,
03-Apr-1999,374,95,190,93,237,81,55,14,,
04-Apr-1999,367,96,192,93,236,81,55,14,,
05-Apr-1999,365,96,190,94,234,81,55,14,,
06-Apr-1999,364,106,191,95,231,83,53,14,,
07-Apr-1999,364,99,190,90,230,87,54,10,,
08-Apr-1999,363,96,197,88,234,79,57,11,,
09-Apr-1999,364,91,191,89,232,77,57,11,,
10-Apr-1999,354,88,191,91,235,81,59,12,,
11-Apr-1999,351,88,189,91,233,81,57,12,,
12-Apr-1999,349,88,187,91,232,81,57,12,,
13-Apr-1999,347,90,189,89,229,84,57,11,,
14-Apr-1999,346,87,188,85,229,77,57,10,,
15-Apr-1999,350,85,192,85,233,75,57,10,,
16-Apr-1999,353,84,191,80,239,73,57,11,,
17-Apr-1999,359,88,193,84,248,69,57,13,,
18-Apr-1999,357,88,189,84,236,71,55,14,,
19-Apr-1999,356,88,186,84,236,71,55,14,,
20-Apr-1999,349,97,185,74,237,79,55,15,,
21-Apr-1999,345,91,188,73,238,77,56,13,,
22-Apr-1999,347,82,189,68,237,74,55,11,,
